ID,Doc,Labels
#1,"_ Ảnh chụp từ hôm qua, đi chơi với gia đình và 1 nhà họ hàng đang sống tại Sài Gòn. _ Hôm qua đi ăn trưa muộn, ai cũng đói hết nên lúc có đồ ăn là nhào vô ăn liền, bởi vậy mới quên chụp các phần gọi thêm với nước mắm, chỉ chụp món chính thôi! _ Đói quá nên không biết đánh giá đồ ăn kiểu gì luôn 😅😅😅_ Chọn cái này vì thấy nó lạ với tui.","['{FOOD#STYLE&OPTIONS, neutral}', '{FOOD#QUALITY, neutral}']"
#2,"_Hương vị thơm ngon, ăn cay cay rất thích, nêm nếm vừa miệng. Ngoài ra menu quán cũng nhiều món khác nhau tha hồ cho bạn lựa chọn luôn._Quán rộng rãi, view khá đẹp và cũng thoáng lắm. Khách của quán đông nên nhiều khi nhân viên phục vụ không được nhanh cho lắm._Thịt heo rừng giá theo kì nên nhớ hỏi trước nhưng trung bình là 150k 1 phần. Hai bạn đi chung chi khoảng 400k hơn là ổn nhé.","['{FOOD#QUALITY, positive}', '{FOOD#STYLE&OPTIONS, positive}', '{AMBIENCE#GENERAL, positive}', '{RESTAURANT#GENERAL, positive}', '{SERVICE#GENERAL, negative}', '{FOOD#PRICES, neutral}', '{RESTAURANT#PRICES, neutral}']"
#3,"- 1 bàn tiệc hoành tráng 3 đứa ăn no muốn tắt thở mà giá chỉ 228k (ăn trung đợt giảm 10%), mình thích nhất pad thái vs gà nướng - đúng kiểu Thái luôn, quán nhỏ, trong hẻm, cơ mà anh phục vụ rất dễ thương, chế biến hợp vệ sinh, bếp lộ thiên lại còn có thể xin nấu cùng - đã!","['{FOOD#STYLE&OPTIONS, positive}', '{FOOD#PRICES, positive}', '{FOOD#QUALITY, positive}', '{AMBIENCE#GENERAL, negative}', '{LOCATION#GENERAL, negative}', '{SERVICE#GENERAL, positive}', '{RESTAURANT#MISCELLANEOUS, positive}', '{RESTAURANT#GENERAL, positive}']"
#4,- Các bạn nhìn cái chảo này có to không 🙄🙄🙄- Trên hình thấy nó cũng to mà ra bên ngoài nó bé tí tẹo tèo teo í 😅😅😅😅- Mà nhìn hoàng tráng lắm - Ăn là no muốn lăn luôn hahaaa - Cái này từ hồi mình ở Hà Nội đã thèm thuồng và vẫn chưa có cơ hội thử thì vô Sài Gòn có quán bánh mì chảo đậm chất Hà Nội đây 👍🏼👍🏼👍🏼- Thêm địa điểm cho mấy bạn nên đi thử nhé - Không thất vọng đâu vì nó khá ngon hê hê,"['{FOOD#STYLE&OPTIONS, positive}', '{RESTAURANT#GENERAL, positive}', '{FOOD#QUALITY, positive}']"
#5,"- Cháo: có nhiều hương cho các bạn chọn, nhưng mình thì chọn hương lá dứa. Cháo thì cỡ hai chén là hết, cháo khá nhừ và thơm, cháo thơm mùi gạo tự nhiên😍- Ếch: vị satế, vì mình cực kì thích ăn cay. Nồi ếch thơm lừng , ăn tại chỗ thì ếch nóng hổi , ăn nóng bao ngon luôn. Cay cay, mặn mặn hoà chung với cháo thì siêu ngon luôn😝","['{FOOD#STYLE&OPTIONS, positive}', '{FOOD#QUALITY, positive}']"
#6,"- Đồ nướng thì chỗ này không ít bạn ""chẻ"" biết đến đâu nhỉ =))) - Giá thì cực sinh viên luôn . Chỉ từ 5k 1 xiên thôi . Có cả bò phô mai với cả bạch tuộc nướng nưa- Thịt ở đây ướp rất là ngon vừa miệng ăn nữa - Nói chùn là không có chỗ chê hê hê","['{FOOD#PRICES, positive}', '{FOOD#STYLE&OPTIONS, positive}', '{FOOD#QUALITY, positive}', '{RESTAURANT#GENERAL, positive}']"
#7,"- Đói không ngủ được nên up hình đồ ăn cho mấy bạn coi - Mì ý ở đây ngon lắm, không chê vào đâu đươc í - Không gian cực kì dễ thương =)) thíc hợp với việc hẹn hò haha - Giá cả gọi là hợp lí cho sinh viên tụi mình lâu lâu tự thưởng cho bản thân một bữa ngon lành cũng không gọi là tiếc nuối đâu ạ ","['{FOOD#QUALITY, positive}', '{AMBIENCE#GENERAL, positive}', '{FOOD#PRICES, positive}']"
#8,"- Khẩu vị vừa ăn hợp vệ sinh , không gian quán rộng view cũng tạm được. Đặc biệt là phục vụ rất nhiệt tình và vui vẻ","['{FOOD#QUALITY, positive}', '{RESTAURANT#MISCELLANEOUS, positive}', '{AMBIENCE#GENERAL, positive}', '{LOCATION#GENERAL, neutral}', '{SERVICE#GENERAL, positive}']"
#9,- Kimchi Kimchi 😹😹- Nói cho cùng thì đồ ăn càng cay càng ngon hã 😂- Lẩu bánh gạo phần 4 người ăn ở kimchikimchi - chúng ta có thể ăn no nê luôn - Nồi lẩu khá to và còn được tặng kèm 2 lon sting và 1 phần cơm chiên nữa 😍😍😍- Đang có chương trình khuyến mại giảm 50% cho phần lẩu 4 người này các bạn ạ - Ai mà nghiền cay thì không thể không check in hhahaaa ,"['{FOOD#QUALITY, positive}', '{FOOD#STYLE&OPTIONS, positive}', '{FOOD#PRICES, positive}']"
#10,"- Lẩu hàu thì chưa thấy đâu có. Mới ăn lần đầu ở đây luôn, mà ghiền quá. Một phần lẩu 199k đầy đặn có 8 con hàu, 2 quả trứng, rau, nấm, một gói mì Hàn (ăn dai dai chứ ko bở như mấy loại thường).- Cách ăn lẩu này là đập trứng cùng hàu trụng tái ăn mới ngon. Nước lẩu cay cay, ấm bụng cực :D- Mì thêm 10k/ vắt, trứng 5k/ trái.","['{FOOD#STYLE&OPTIONS, positive}', '{FOOD#QUALITY, positive}', '{FOOD#PRICES, neutral}']"
#11,- Ngon tuyệt vời luôn !,"['{FOOD#QUALITY, positive}']"
#12,"- Ở quán Cơm chay Thuyền Viên.- Chỉ một từ thôi: NGON 💘👍- Vẫn rất giòn dù lúc tớ là 8h30 tối, ăn rất ngon, mùi lại thơm nữa. Nêm vừa ăn, ăn chung tương ớt rất ngon (không có tương xí muội)- Giá ok: 3k/cuốn.","['{FOOD#QUALITY, positive}', '{FOOD#PRICES, positive}']"
#13,"- Ở Quảng, tên mấy tiệm mì Quảng thường đặt tên theo người nấu ra nó, vậy nên thấy cái ""mì Quảng Bà Dzũ"" đã cảm được chất của Đà Nẵng ngay từ cái nhìn đầu tiên rồi. - Ngoài mì Quảng, quán còn rất nhiều món Quảng rất ngon như bún cá cam, bún bò Đà Nẵng (chỉ xài thịt bò, không có giò), bún mắm nêm, chè đậu ngự. Quán do 1 anh người Quảng rất Quảng nên món cũng rất Quảng. - Đặt cái tên dễ làm người ta nao lòng, tô bé đẹp, tô bé cưng, cà phê tình mê, bún mắm tình đắm,... nhìn mà phì cười. - Quán rất thoáng mát, nếu đang vội, đừng tới đây ăn, mà hãy chờ lúc nào thong thả. - Quán gì đó - Muốn quên cũng khó.","['{RESTAURANT#GENERAL, positive}', '{FOOD#QUALITY, positive}', '{FOOD#STYLE&OPTIONS, positive}', '{AMBIENCE#GENERAL, positive}']"
#14,"- Quán tên là Cơm chay Thuyền Viên.- Ăn rất ổn, mùi thơm, rau cải giòn, mì căn không có mùi hôi dầu như nhiều chỗ mình hay ăn. Bị cái nước tương hơi dở. Nếu bạn nào chịu ăn lạt thì không cần thêm nước tương đâu 👍- Giá cũng được : 18k/đĩa- Ở đây còn bán rất nhiều món chay khác như cơm, phở, hủ tiếu, bún thái, các món ăn vặt chay, phụ liệu nấu đồ chay,... ăn rất ổn.","['{FOOD#QUALITY, neutral}', '{FOOD#PRICES, positive}', '{FOOD#STYLE&OPTIONS, positive}']"
#15,"- Quán trong hẻm nhưng ngay đường Nguyễn Cư Trinh nên cực kì dễ tìm- Đồ ăn đa dạng, ngon nhất vẫn là nem nướng - Giá cả hợp lý- Nhân viên phục vụ nhiệt tình- Nhất định sẽ quay lại nè","['{LOCATION#GENERAL, positive}', '{FOOD#STYLE&OPTIONS, positive}', '{FOOD#QUALITY, positive}', '{FOOD#PRICES, positive}', '{SERVICE#GENERAL, positive}', '{RESTAURANT#GENERAL, positive}']"
#16,"- Wagyu beef 360k/g x 750g at minimum for order nhen. Mình ăn medrare - Sauce Chi... đầu tiên trong menu : 70k sauce ớt chuông rau ,... với oliu oil- Sauce Blue cheese béo ngon hình như 100k , hơi nhẫn đắng- Cheese mặn đút lò ngon. Tên món  quên òi. 😜😜 hong nhớ giá luôn. Ngon thơm.- Salad A... ko nhớ tên. Size nhỏ 100k. Rau cải ngựa và hành khoanh, cheese, sốt hành. Nồng khó ăn.","['{FOOD#PRICES, neutral}', '{FOOD#QUALITY, neutral}']"
